127.0.0.1 - - [25/Feb/2026:11:49:06 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:49:08 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:51:39 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:51:39 +0530] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:51:39 +0530] "GET /apple-touch-icon.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:51:39 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:51:39 +0530] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:51:39 +0530] "GET /apple-touch-icon.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:51:39 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:51:39 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:51:40 +0530] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:51:40 +0530] "GET /apple-touch-icon.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:51:40 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:51:40 +0530] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:51:40 +0530] "GET /apple-touch-icon.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:51:40 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:52:33 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:52:33 +0530] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:52:34 +0530] "GET /apple-touch-icon.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:52:34 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:53:07 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:53:23 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [25/Feb/2026:11:53:47 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 121
