127.0.0.1 - - [07/Mar/2026:11:25:26 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:25:27 +0530] "GET /Web_Project/ HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:25:27 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:25:30 +0530] "GET /Web_Project/WelcomeCtl HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:25:32 +0530] "GET /Web_Project/LoginCtl HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:25:44 +0530] "POST /Web_Project/LoginCtl HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:25:52 +0530] "POST /Web_Project/LoginCtl HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:26:07 +0530] "GET /Web_Project/WelcomeCtl HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:26:09 +0530] "GET /Web_Project/UserRegistrationCtl HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:26:42 +0530] "POST /Web_Project/UserRegistrationCtl HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:26:55 +0530] "GET /Web_Project/LoginCtl HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:27:26 +0530] "POST /Web_Project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:27:26 +0530] "GET /Web_Project/WelcomeCtl HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:27:33 +0530] "GET /Web_Project/UserCtl.do HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:27:37 +0530] "GET /Web_Project/UserListCtl.do HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:27:48 +0530] "GET /Web_Project/UserListCtl.do HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:27:56 +0530] "GET /Web_Project/UserCtl.do HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:27:58 +0530] "GET /Web_Project/UserListCtl.do HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:30:35 +0530] "GET /Web_Project/UserListCtl.do HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:32:55 +0530] "GET /Web_Project/UserListCtl.do HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:32:58 +0530] "GET /Web_Project/UserListCtl.do HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:32:58 +0530] "GET /Web_Project/UserListCtl.do HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:34:07 +0530] "GET /Web_Project/UserListCtl.do HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:35:05 +0530] "POST /Web_Project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:35:05 +0530] "GET /Web_Project/WelcomeCtl HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:35:08 +0530] "GET /Web_Project/UserListCtl.do HTTP/1.1" 200 3395
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:35:15 +0530] "GET /Web_Project/UserCtl.do HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:35:17 +0530] "GET /Web_Project/UserListCtl.do HTTP/1.1" 200 3395
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:35:26 +0530] "POST /Web_Project/UserListCtl.do HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:35:31 +0530] "GET /Web_Project/UserCtl.do?id=1 HTTP/1.1" 200 1515
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:35:39 +0530] "POST /Web_Project/UserCtl.do HTTP/1.1" 200 1486
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:35:44 +0530] "GET /Web_Project/UserListCtl.do HTTP/1.1" 200 3394
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:36:03 +0530] "GET /Web_Project/UserListCtl.do HTTP/1.1" 200 3394
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:36:05 +0530] "GET /Web_Project/UserCtl.do HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:36:06 +0530] "GET /Web_Project/UserListCtl.do HTTP/1.1" 200 3394
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:36:11 +0530] "POST /Web_Project/UserListCtl.do HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:36:19 +0530] "GET /Web_Project/UserListCtl.do HTTP/1.1" 200 3107
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:36:21 +0530] "GET /Web_Project/UserCtl.do HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:36:25 +0530] "GET /Web_Project/UserListCtl.do HTTP/1.1" 200 3107
0:0:0:0:0:0:0:1 - - [07/Mar/2026:11:36:30 +0530] "GET /Web_Project/LoginCtl?operation=logout HTTP/1.1" 200 976
